x1,x2
10.67,14.7
10.87,6.91
13.27,13.92
9.74,13.79
11.95,6.05
14.4,16.58
10.23,14.3
12.77,7.97
14.5,17.39
11.17,15.53
13.25,8.03
14.2,16.7
10.41,15.08
14.42,9.25
14.62,17.22
11.14,14.45
16.03,9.88
13.05,12.2
10.12,12.95
12.23,6.97
14.43,16.31
9.58,13.76
13.24,8.58
13.51,15.12
11.16,15.21
10.88,6.15
14.63,17.0
10.08,13.53
15.85,9.51
15.36,16.95
9.96,13.31
11.63,7.28
14.24,17.55
9.17,12.41
13.41,8.35
13.82,15.46
11.52,16.01
11.71,6.37
14.52,18.9
11.27,15.41
12.49,7.6
15.43,19.0
8.72,11.66
14.46,8.21
14.58,17.01
11.3,15.11
15.0,10.11
12.87,14.26
9.7,13.56
12.24,7.16
15.37,18.91
8.69,11.81
13.68,8.12
15.61,19.0
10.99,16.28
15.06,8.47
15.12,17.84
10.82,14.41
12.78,8.74
13.64,15.49
